Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 4-25-2022  5:07PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  BoothModMultAlg.ngd
output file: BoothModMultAlg_pad.csv
Part type:   xc2c256
Speed grade: -6
Package:     tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,,VCC,VCC,,,,,,,,,,
P2,MR<6>,I,I/O/GTS2,INPUT,LVCMOS18,2,,FAST,,,,
P3,KPR,,I/O/GTS3,,,2,,,,,,,
P4,KPR,,I/O,,,2,,,,,,,
P5,KPR,,I/O/GTS0,,,2,,,,,,,
P6,KPR,,I/O/GTS1,,,2,,,,,,,
P7,KPR,,I/O,,,2,,,,,,,
P8,,VCCAUX,VAUX,,,,,,,,,,
P9,KPR,,I/O,,,2,,,,,,,
P10,KPR,,I/O,,,2,,,,,,,
P11,Product<5>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P12,Product<4>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P13,MP<0>,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P14,MP<1>,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P15,MP<7>,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P16,MR<5>,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P17,KPR,,I/O,,,2,,,,,,,
P18,KPR,,I/O,,,2,,,,,,,
P19,KPR,,I/O,,,1,,,,,,,
P20,KPR,,I/O,,,1,,,,,,,
P21,KPR,,I/O,,,1,,,,,,,
P22,KPR,,I/O,,,1,,,,,,,
P23,MR<1>,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P24,MR<0>,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P25,MP<3>,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P26,MP<2>,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P27,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P28,KPR,,I/O,,,1,,,,,,,
P29,GND,,GND,,,,,,,,,,
P30,KPR,,I/O/GCK0,,,1,,,,,,,
P31,KPR,,I/O,,,1,,,,,,,
P32,KPR,,I/O/GCK1,,,1,,,,,,,
P33,KPR,,I/O,,,1,,,,,,,
P34,Product<7>,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P35,Product<10>,O,I/O/CDR,OUTPUT,LVCMOS18,1,,FAST,,,,
P36,GND,,GND,,,,,,,,,,
P37,,VCC,VCC,,,,,,,,,,
P38,KPR,,I/O/GCK2,,,1,,,,,,,
P39,KPR,,I/O/DGE0,,,1,,,,,,,
P40,KPR,,I/O,,,1,,,,,,,
P41,KPR,,I/O,,,1,,,,,,,
P42,KPR,,I/O,,,1,,,,,,,
P43,KPR,,I/O,,,1,,,,,,,
P44,Product<0>,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P45,KPR,,I/O,,,1,,,,,,,
P46,KPR,,I/O,,,1,,,,,,,
P47,GND,,GND,,,,,,,,,,
P48,KPR,,I/O,,,1,,,,,,,
P49,KPR,,I/O,,,1,,,,,,,
P50,KPR,,I/O,,,1,,,,,,,
P51,KPR,,I/O,,,1,,,,,,,
P52,KPR,,I/O,,,1,,,,,,,
P53,KPR,,I/O,,,1,,,,,,,
P54,KPR,,I/O,,,1,,,,,,,
P55,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P56,KPR,,I/O,,,1,,,,,,,
P57,KPR,,I/O,,,1,,,,,,,
P58,KPR,,I/O,,,1,,,,,,,
P59,KPR,,I/O,,,1,,,,,,,
P60,KPR,,I/O,,,1,,,,,,,
P61,KPR,,I/O,,,1,,,,,,,
P62,GND,,GND,,,,,,,,,,
P63,TDI,,TDI,,,,,,,,,,
P64,KPR,,I/O,,,1,,,,,,,
P65,TMS,,TMS,,,,,,,,,,
P66,KPR,,I/O,,,1,,,,,,,
P67,TCK,,TCK,,,,,,,,,,
P68,KPR,,I/O,,,1,,,,,,,
P69,KPR,,I/O,,,1,,,,,,,
P70,KPR,,I/O,,,1,,,,,,,
P71,KPR,,I/O,,,1,,,,,,,
P72,GND,,GND,,,,,,,,,,
P73,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P74,KPR,,I/O,,,1,,,,,,,
P75,KPR,,I/O,,,1,,,,,,,
P76,KPR,,I/O,,,1,,,,,,,
P77,KPR,,I/O,,,1,,,,,,,
P78,KPR,,I/O,,,1,,,,,,,
P79,KPR,,I/O,,,1,,,,,,,
P80,KPR,,I/O,,,1,,,,,,,
P81,KPR,,I/O,,,1,,,,,,,
P82,KPR,,I/O,,,1,,,,,,,
P83,KPR,,I/O,,,1,,,,,,,
P84,,VCC,VCC,,,,,,,,,,
P85,KPR,,I/O,,,1,,,,,,,
P86,KPR,,I/O,,,1,,,,,,,
P87,KPR,,I/O,,,1,,,,,,,
P88,KPR,,I/O,,,1,,,,,,,
P89,GND,,GND,,,,,,,,,,
P90,GND,,GND,,,,,,,,,,
P91,KPR,,I/O,,,1,,,,,,,
P92,KPR,,I/O,,,1,,,,,,,
P93,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P94,KPR,,I/O,,,2,,,,,,,
P95,KPR,,I/O,,,2,,,,,,,
P96,KPR,,I/O,,,2,,,,,,,
P97,KPR,,I/O,,,2,,,,,,,
P98,KPR,,I/O,,,2,,,,,,,
P99,GND,,GND,,,,,,,,,,
P100,KPR,,I/O,,,2,,,,,,,
P101,KPR,,I/O,,,2,,,,,,,
P102,KPR,,I/O,,,2,,,,,,,
P103,MR<7>,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P104,MP<6>,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P105,MP<5>,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P106,MP<4>,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P107,Product<6>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P108,GND,,GND,,,,,,,,,,
P109,,VCCIO-1.8,VCCIO,,,2,,,,,,,
P110,Product<13>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P111,Product<12>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P112,Product<2>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P113,Product<1>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P114,Product<11>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P115,KPR,,I/O,,,2,,,,,,,
P116,KPR,,I/O,,,2,,,,,,,
P117,KPR,,I/O,,,2,,,,,,,
P118,KPR,,I/O,,,2,,,,,,,
P119,KPR,,I/O,,,2,,,,,,,
P120,Product<3>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P121,Product<9>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P122,TDO,,TDO,,,,,,,,,,
P123,GND,,GND,,,,,,,,,,
P124,Product<8>,O,I/O/DGE1,OUTPUT,LVCMOS18,2,,FAST,,,,
P125,Product<14>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P126,Product<15>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P127,,VCCIO-1.8,VCCIO,,,2,,,,,,,
P128,MR<3>,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P129,MR<4>,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P130,KPR,,I/O,,,2,,,,,,,
P131,KPR,,I/O,,,2,,,,,,,
P132,KPR,,I/O,,,2,,,,,,,
P133,KPR,,I/O,,,2,,,,,,,
P134,KPR,,I/O,,,2,,,,,,,
P135,KPR,,I/O,,,2,,,,,,,
P136,KPR,,I/O,,,2,,,,,,,
